int	string	uint	uint	string
FUnique()				PKEY1
排行，按性能高到低排序	显卡名字	天梯分	天梯分	清洗后的显卡名
Index	gpu_name	g3d_mark	g2d_mark	gpu_detail_collected
412	Intel Arc A770M	7057	526	intel arc a770m
413	Tesla K80	7025	714	tesla k80
414	Quadro M5000M	7013	480	quadro m5000m
415	Ryzen 7 4800HS with Radeon Graphics	6999	355	ryzen 7 4800hs
416	T600 Laptop GPU	6979	412	t600 laptop
417	GeForce GTX 1650 (Mobile)	6969	384	geforce gtx 1650 mobile
418	Ryzen 7 6800HS with Radeon Graphics	6867	704	ryzen 7 6800hs
419	Quadro T2000 with Max-Q Design	6851	455	quadro t2000 with max-q design
420	Radeon Pro 5500M	6807	682	radeon pro 5500m
421	Radeon PRO W6400	6799	877	radeon pro w6400
422	Radeon RX 6500M	6799	321	radeon rx 6500m
423	GeForce GTX 970XM FORCE	6707	725	geforce gtx 970xm force
424	Radeon R9 285	6680	597	radeon r9 285
425	GeForce RTX 2050	6673	422	geforce rtx 2050
426	Quadro T1000 with Max-Q Design	6663	437	quadro t1000 with max-q design
427	Radeon RX Vega M GH	6645	821	radeon rx vega m gh
428	Quadro M4000	6613	698	quadro m4000
